Cartera,IMPORTE,Des_Estado,Nombre
CA05,8168,Cerrada,CONECTORES
CA03,8176,Cerrada,VA1/VAP/VHP
CA04,8194,Cerrada,CONECTORES
CA06,8228,Cerrada,ACC PARA CAÑERIAS
CA03,8270,Cerrada,CONECTORES
CA05,8283,Cerrada,CONECTORES
CA04,8289,Cerrada,VALV DE ALIVIO
CA06,8308,Cerrada,VALV ESFERICAS  RVTA.
CA03,8342,Cerrada,VALV INTEGRAL
CA06,8363,Cerrada,ACC. ALTA PRESION
CA06,8376,Cerrada,VM
CA06,8439,Cerrada,CONECTORES
CA06,8448,Cerrada,ACC PARA CAÑERIAS
CA06,8660,Cerrada,VM
CA06,8665,Cerrada,ACC. ALTA PRESION
CA06,8690,Cerrada,ARTICULO ESPECIAL
CA06,8690,Cerrada,CONECTORES
CA04,8716,Cerrada,VA1/VAP/VHP
CA03,8747,Cerrada,CONECTORES
CA06,8755,Cerrada,ACC PARA CAÑERIAS
CA06,8755,Cerrada,CONECTORES
CA04,8798,Cerrada,VALV DE ALIVIO
CA06,8815,Cerrada,ACC PARA CAÑERIAS
CA04,8831,Cerrada,VALV DE ALIVIO
CA03,8948,Cerrada,VALV DE RETENCION
CA06,8983,Cerrada,LIMITADOR
CA04,8987,Cerrada,CONECTORES
CA04,8997,Cerrada,VALV INTEGRAL
CA04,9000,Cerrada,TUBING
CA04,9019,Cerrada,VALV DE RETENCION
CA04,9025,Cerrada,Engrasadores y Afines
CA04,9069,Cerrada,VALV DE ALIVIO
CA04,9073,Cerrada,VA1/VAP/VHP
CA06,9147,Cerrada,CONECTORES
CA03,9184,Cerrada,VALV DE ALIVIO
CA03,9184,Cerrada,VALV DE RETENCION
CA06,9393,Cerrada,ACC PARA CAÑERIAS
CA04,9421,Cerrada,Tapones Purgadores
CA06,9430,Cerrada,CONECTORES
CA04,9460,Cerrada,VALV DE ALIVIO
CA04,9520,Cerrada,CONECTORES
CA04,9520,Cerrada,TUBING
CA04,9587,Cerrada,LIMITADOR
CA04,9640,Cerrada,ACC PARA CAÑERIAS
CA05,9647,Cerrada,CONECTORES
CA05,9647,Cerrada,ACC PARA CAÑERIAS
CA03,9793,Cerrada,ACC. ALTA PRESION
CA04,9802,Cerrada,SOPORTES PARA CAÑERIAS
CA04,9811,Cerrada,VALV DE ALIVIO
CA05,9816,Cerrada,ACC. ALTA PRESION
CA06,9944,Cerrada,ACC PARA CAÑERIAS
CA06,9944,Cerrada,CONECTORES
CA04,9984,Cerrada,MANGUERAS ARMADAS
CA06,10017,Cerrada,VALV INTEGRAL
CA06,10022,Cerrada,CONECTORES
CA04,10036,Cerrada,CONECTORES
CA04,10173,Cerrada,ACC PARA CAÑERIAS
CA04,10202,Cerrada,VALV DE ALIVIO
CA06,10237,Cerrada,REPUESTOS
CA04,10307,Cerrada,VA2
CA04,10307,Cerrada,VALV DE RETENCION
CA99,10327,Cerrada,VF2
CA05,10359,Cerrada,VALV DE RETENCION
CA03,10449,Cerrada,VA1/VAP/VHP
CA06,10451,Cerrada,ACC PARA CAÑERIAS
CA06,10470,Cerrada,CONECTORES
CA04,10472,Cerrada,VALV DE ALIVIO
CA04,10478,Cerrada,VALV DE RETENCION
CA03,10506,Cerrada,CONECTORES
CA03,10548,Cerrada,CONECTORES
CA03,10548,Cerrada,VA2
CA06,10642,Cerrada,VA2
CA06,10642,Cerrada,VF2
CA99,10652,Cerrada,Tapones Purgadores
CA99,10652,Cerrada,VALV DE ALIVIO
CA06,10667,Cerrada,CONECTORES
CA04,10681,Cerrada,VALV DE ALIVIO
CA04,10715,Cerrada,CONECTORES
CA04,10715,Cerrada,VA1/VAP/VHP
CA06,10755,Cerrada,ACC PARA CAÑERIAS
CA06,10755,Cerrada,CONECTORES
CA05,10767,Cerrada,VALV DE ALIVIO
CA06,10904,Cerrada,ACC PARA CAÑERIAS
CA04,10917,Cerrada,VALV INTEGRAL
CA06,10924,Cerrada,VALV INTEGRAL
CA06,10931,Cerrada,CONECTORES
CA04,10974,Cerrada,ACCESORIOS VARIOS
CA04,10974,Cerrada,ESF. ABAC 3 VIAS TRUNNION
CA04,10985,Cerrada,VALV DE ALIVIO
CA03,10986,Cerrada,VALV DE ALIVIO
CA04,11009,Cerrada,CONECTORES
CA04,11009,Cerrada,VALV DE RETENCION
CA04,11009,Cerrada,VALV ESFERICAS  RVTA.
CA06,11022,Cerrada,CONECTORES
CA06,11031,Cerrada,CONECTORES
CA03,11116,Cerrada,Tapones Purgadores
CA04,11143,Cerrada,PRODUCTOS MAXIMATOR
CA03,11145,Cerrada,ESF. ABAC 2 VIAS
CA03,11145,Cerrada,REPUESTOS
CA04,11173,Cerrada,VA1/VAP/VHP
CA04,11208,Cerrada,TUBING
CA04,11370,Cerrada,REPUESTOS
CA04,11401,Cerrada,SOPORTES PARA CAÑERIAS
CA04,11410,Cerrada,VALV ESFERICAS  RVTA.
CA04,11413,Cerrada,TUBING
CA03,11473,Cerrada,VALV INTEGRAL
CA04,11480,Cerrada,ACC PARA CAÑERIAS
CA04,11480,Cerrada,VALV INTEGRAL
